N	T[ms]	dev[ms]	Samples
200000	0.742	0.302432	50
400000	0.55	0.147427	50
600000	0.462	0.13536	50
800000	0.494	0.13311	50
1000000	0.462	0.145532	50
1200000	0.434	0.145139	50
1400000	0.422	0.128238	50
1600000	0.422	0.11119	50
1800000	0.438	0.145532	50
2000000	0.42	0.14708	50
N	T[ms]	dev[ms]	Samples
200000	0.886	0.48065	50
400000	0.76	0.268784	50
600000	0.694	0.217039	50
800000	0.638	0.229365	50
1000000	0.61	0.188712	50
1200000	0.676	0.236953	50
1400000	0.614	0.221323	50
1600000	0.652	0.222454	50
1800000	0.656	0.155393	50
2000000	0.64	0.20702	50
N	T[ms]	dev[ms]	Samples
200000	0.67	0.269732	50
400000	0.692	0.221166	50
600000	0.722	0.247675	50
800000	0.678	0.215037	50
1000000	0.684	0.175383	50
1200000	0.614	0.17844	50
1400000	0.68	0.208982	50
1600000	0.676	0.196458	50
1800000	0.672	0.178474	50
2000000	0.65	0.217828	50
